COLLEGES,Civil,CSE,R&AI,EE,ENTC,Instrumentation,Mechanical,Manufacturing,Metallurgyy,IT,AIDS,ECE,Year,Category
COEP,98.47,99.96,99.79,99.48,99.73,99.42,99.23,98.66,97.88,-,-,-,2023,General
PICT,-,99.75,-,-,99.24,-,-,-,-,99.61,99.56,99.45,2023,General
JSPM,-,92.98,-,73.88,86.65,-,70.87,-,-,91.79,92.73,-,2023,General
VIT,94.75,99,-,-,97.62,94.44,95.97,97.88,-,-,98.33,-,2023,General
PCCOE,95.29,98.73,-,-,97.44,-,95.46,-,91.79,-,-,-,2023,General
COEP,97.98,99.86,99.7,99.3,99.56,99.03,98.83,98.66,97.68,-,-,-,2023,OBC
PICT,-,99.56,-,-,98.87,-,-,-,-,99.49,99.45,99.31,2023,OBC
JSPM,-,91.94,-,71.35,83.75,-,62.79,-,-,90.51,91.06,-,2023,OBC
VIT,92.88,98.61,-,-,96.89,92.97,95.97,97.88,-,-,97.47,-,2023,OBC
PCCOE,92.71,98.47,-,-,96.9,-,93.68,-,-,98.21,-,-,2023,OBC
COEP,98.89,99.84,99.66,99.4,99.7,99.18,99.15,98.76,97.48,-,-,-,2022,General
PICT,-,99.57,-,-,98.5,-,-,-,-,99.39,99.3,99.05,2022,General
JSPM,-,91.22,-,59.68,79.7,-,37.12,-,-,89.4,89.39,-,2022,General
VIT,-,99.16,-,-,97.88,94.16,96.27,-,-,98.93,98.58,-,2022,General
PCCOE,90.99,98.89,-,-,96.93,-,93,-,-,98.97,98.24,-,2022,General
COEP,98.07,99.8,-,99.06,-,-,98.85,98.39,-,-,-,-,2022,OBC
PICT,-,99.44,-,-,-,-,-,-,-,99.31,-,-,2022,OBC
JSPM,-,90.68,-,55.71,76.71,-,10.6,-,-,89.35,86.84,-,2022,OBC
VIT,-,99.04,-,-,97.46,-,96.23,-,-,98.71,98.48,-,2022,OBC
PCCOE,-,98.74,-,-,96.59,-,92.42,-,-,-,-,-,2022,OBC
COEP,98.17,99.77,-,99.18,99.5,-,98.72,97.77,94.97,-,-,-,2021,General
PICT,-,99.5,-,-,98.46,-,-,-,-,99.14,-,-,2021,General
JSPM,-,90.12,77.94,-,81.75,-,46.94,-,-,89.13,-,-,2021,General
VIT,-,98.81,-,-,96.86,-,93.31,-,-,98.52,98.44,-,2021,General
PCCOE,88.95,98.35,-,-,95.88,-,88.85,-,-,98.05,-,-,2021,General
COEP,-,99.73,-,-,99.35,-,98.68,96.3,93.17,-,-,-,2021,OBC
PICT,-,99.19,-,-,-,-,-,-,-,98.99,-,-,2021,OBC
JSPM,20.82,-,-,-,-,-,-,-,-,-,-,-,2021,OBC
VIT,-,-,-,-,-,-,-,-,-,-,-,-,2021,OBC
PCCOE,-,-,-,-,-,-,-,-,-,-,-,-,2021,OBC
